artist,song,duration_ms,explicit,year,popularity,valence,tempo,genre,genre_Folk/Acoustic,genre_R&B,genre_World/Traditional,genre_blues,genre_classical,genre_country,genre_easy listening,genre_hip hop,genre_jazz,genre_latin,genre_metal,genre_pop,genre_rock,genre_set(),genre_ordinal
Britney Spears,Oops!...I Did It Again,211160,False,2000,77,0.894,95.053,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
blink-182,All The Small Things,167066,False,1999,79,0.684,148.726,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
blink-182,All The Small Things,167066,False,1999,79,0.684,148.726,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Faith Hill,Breathe,250546,False,1999,66,0.278,136.859,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Faith Hill,Breathe,250546,False,1999,66,0.278,136.859,country,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3
Bon Jovi,It's My Life,224493,False,2000,78,0.544,119.992,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Bon Jovi,It's My Life,224493,False,2000,78,0.544,119.992,metal,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14
*NSYNC,Bye Bye Bye,200560,False,2000,65,0.879,172.656,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Sisqo,Thong Song,253733,True,1999,69,0.714,121.549,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Sisqo,Thong Song,253733,True,1999,69,0.714,121.549,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Sisqo,Thong Song,253733,True,1999,69,0.714,121.549,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Eminem,The Real Slim Shady,284200,True,2000,86,0.76,104.504,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Robbie Williams,Rock DJ,258560,False,2000,68,0.861,103.035,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Robbie Williams,Rock DJ,258560,False,2000,68,0.861,103.035,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Destiny's Child,Say My Name,271333,False,1999,75,0.734,138.009,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Destiny's Child,Say My Name,271333,False,1999,75,0.734,138.009,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Modjo,Lady - Hear Me Tonight,307153,False,2001,77,0.869,126.041,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
Gigi D'Agostino,L'Amour Toujours,238759,False,2011,1,0.808,139.066,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,False,1999,56,0.96,129.962,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Bomfunk MC's,Freestyler,306333,False,2000,55,0.568,163.826,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Sting,Desert Rose,285960,False,1999,62,0.147,111.989,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Sting,Desert Rose,285960,False,1999,62,0.147,111.989,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Melanie C,Never Be The Same Again,294200,False,1999,61,0.398,160.067,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Melanie C,Never Be The Same Again,294200,False,1999,61,0.398,160.067,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
Aaliyah,Try Again,284000,False,2002,53,0.731,93.02,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Aaliyah,Try Again,284000,False,2002,53,0.731,93.02,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Aaliyah,Try Again,284000,False,2002,53,0.731,93.02,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Anastacia,I'm Outta Love - Radio Edit,245400,False,1999,64,0.649,119.41,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Alice Deejay,Better Off Alone,214883,False,2000,73,0.782,136.953,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Gigi D'Agostino,The Riddle,285426,False,1999,64,0.825,127.002,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Dr. Dre,The Next Episode,161506,True,1999,82,0.309,95.295,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Linkin Park,In the End,216880,False,2000,83,0.4,105.143,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Linkin Park,In the End,216880,False,2000,83,0.4,105.143,metal,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14
Tom Jones,Sexbomb,211893,False,1999,65,0.932,122.979,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Tom Jones,Sexbomb,211893,False,1999,65,0.932,122.979,Folk/Acoustic,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9
Tom Jones,Sexbomb,211893,False,1999,65,0.932,122.979,easy listening,False,False,False,False,False,False,True,False,False,False,False,False,False,False,10
Sonique,It Feels So Good,240866,False,2000,62,0.558,135.012,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
M.O.P.,Cold as Ice,244466,True,2000,54,0.758,85.565,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Melanie C,I Turn To You,352173,False,1999,54,0.0783,135.205,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Melanie C,I Turn To You,352173,False,1999,54,0.0783,135.205,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
Limp Bizkit,Take A Look Around,321040,False,2000,72,0.512,101.968,metal,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14
Darude,Sandstorm,225493,False,2001,69,0.587,136.065,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Darude,Sandstorm,225493,False,2001,69,0.587,136.065,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
Da Brat,What'chu Like (feat. Tyrese),221160,True,2000,53,0.817,99.974,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Da Brat,What'chu Like (feat. Tyrese),221160,True,2000,53,0.817,99.974,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Da Brat,What'chu Like (feat. Tyrese),221160,True,2000,53,0.817,99.974,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Moloko,The Time Is Now,318280,False,2000,54,0.546,127.962,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Moloko,The Time Is Now,318280,False,2000,54,0.546,127.962,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
Chicane,Don't Give Up,210786,False,2016,47,0.53,132.017,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
DMX,Party Up,268866,True,1999,71,0.53,201.936,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
DMX,Party Up,268866,True,1999,71,0.53,201.936,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Debelah Morgan,Dance with Me,220106,False,2000,49,0.74,115.005,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Debelah Morgan,Dance with Me,220106,False,2000,49,0.74,115.005,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
